id,hash,ignored,data,files
332,367337,true,,"[4,0,3,9,5,7,10,16,14,23,27,30,52,50,62,61,63,67]"
333,1431950,true,,"[4,0,3,9,5,7,16,14,23,27,30,40,52,50,62,61,63,67]"
334,2528307,false,,"[4,16,14]"
335,989859,false,,"[4,9,11,16]"
336,3503208,false,,[4]
337,3934121,false,,[4]
338,2895179,false,,"[4,11,40]"
339,1626438,false,,"[4,5]"
340,1556053,true,,"[4,0,3,6,9,5,8,12,7,13,10,11,16,15,20,14,19,21,18,22,24,25,32,28,26,29,31,34,40,35,36,38,37,42,46,48,51,49,53,54,60,55,56,57,58,65,64,59,66,68,69,71,72,70,73,74]"
341,8249,true,,"[4,3,9,5,8,12,7,13,10,11,16,19,21,18,22,24,25,32,28,26,34,40,35,38,37,42,53,54,60,55,56,57,58,65,64,59,66,68,69,71,72,70,73,74]"
342,1537221,true,,"[4,3,9,5,8,12,7,10,11,16,23,27,39,41,52,50,62,61,63,67]"
343,484071,false,,[4]
344,2760817,false,,[4]
345,5142726,false,,[4]
346,2956610,false,,[4]
347,2333935,false,,[4]
348,6280273,false,,"[4,0,3,5,13,10,11,16,14]"
349,3711572,false,,"[4,0,5,10,11,16]"
350,3596890,false,,"[4,0,5,7,10,11,16]"
351,1134326,false,,[4]
352,4037009,false,,[4]
353,1648344,false,,[4]
354,3463101,false,,[4]
355,2849331,false,,[4]
356,1012828,false,,[4]
357,1109837,false,,[4]
358,3322577,false,,[4]
359,8655582,false,,[4]
360,3958901,false,,[4]
361,1822763,false,,"[4,9,11,36,42,46,48]"
362,1074026,true,,"[4,9,5,11,20,19,24,26,36,38,42,64,59,69,71]"
363,98080,false,,"[4,9]"
364,4470763,false,,"[0,12,13]"
365,3572161,false,,[0]
366,1084687,false,,"[0,5,7]"
367,3050838,false,,"[0,5,7]"
368,4218979,false,,"[0,5,7]"
369,1668433,false,,"[0,5,7,13,10]"
370,123528,false,,"[0,5,7,10]"
371,875735,false,,"[0,5,7,10]"
372,6766699,false,,"[0,5,7,10]"
373,8399077,false,,[0]
374,4748700,false,,[0]
375,4677455,false,,[0]
376,2379093,false,,[0]
377,1113210,false,,[0]
378,798755,false,,"[0,8,10,30]"
379,4179808,false,,[0]
380,4537176,false,,"[0,9]"
381,2627524,false,,"[0,9]"
382,2843474,false,,"[0,9]"
383,4985950,false,,[0]
384,1787008,false,,"[0,6,9,11,14,33,30]"
385,1850897,false,,"[0,6,11]"
386,1356970,false,,"[0,6,11,14,33,30,52,50]"
387,278419,false,,"[0,6,9,5,11,14,33,30,52,50]"
388,1474255,false,,"[0,6,9,11,14,33,30,38,52,50]"
389,104640,false,,[0]
390,2573119,false,,[0]
391,953876,false,,[0]
392,3467530,false,,[0]
393,2792734,false,,[0]
394,1297116,false,,[0]
395,1227208,false,,[0]
396,1158486,false,,"[0,9,14,30]"
397,2600384,false,,"[0,9]"
398,5813635,false,,[0]
399,5292460,false,,[0]
400,1473268,false,,[0]
401,306914,false,,"[0,14,30]"
402,1182601,true,,"[0,5,8,7,13,10,11,16,17,14,47,45,52,50]"
403,1729516,false,,[0]
404,2494651,false,,[0]
405,4290305,false,,[0]
406,4397293,false,,[0]
407,3908591,false,,[0]
408,3042583,false,,[0]
409,4068711,false,,[0]
410,8797343,false,,[0]
411,12155275,false,,[0]
412,6735954,false,,[0]
413,3493124,false,,[0]
414,1918201,false,,[0]
415,1844712,false,,[0]
416,954164,false,,[0]
417,2455024,false,,[0]
418,1519597,false,,[0]
419,304523,false,,[0]
420,2244298,false,,[0]
421,1660864,false,,[0]
422,115523,false,,[0]
423,535493,false,,[0]
424,169190,false,,[0]
425,403667,false,,[0]
426,3235399,false,,[0]
427,3662797,false,,[0]
428,3482512,false,,[0]
429,3371320,false,,"[0,14]"
430,2954743,false,,"[0,14]"
431,2414157,false,,"[0,14]"
432,2032783,false,,"[0,14]"
433,170723,false,,"[0,14]"
434,1245657,false,,"[0,14]"
435,2516147,false,,"[0,30]"
436,3697470,false,,[0]
437,2542229,false,,[0]
438,2252810,false,,[0]
439,1603715,false,,[0]
440,2442799,false,,[0]
441,6669554,false,,[0]
442,837904,false,,"[0,11]"
443,2352044,false,,[0]
444,2911312,false,,"[0,38]"
445,2921449,false,,[0]
446,4513829,false,,[0]
447,5533236,false,,"[0,5,14]"
448,4695112,false,,[0]
449,4225519,false,,[0]
450,3738562,false,,"[0,14]"
451,1346634,false,,[0]
452,329377,false,,[0]
453,442642,false,,[0]
454,691329,false,,[0]
455,4265632,false,,[0]
456,321622,false,,[0]
457,406947,false,,[0]
458,2553668,false,,[0]
459,4039936,false,,[0]
460,6426343,false,,[0]
461,682166,false,,"[0,12,14]"
462,2739,false,,"[0,12]"
463,3432521,false,,"[0,8,10,30]"
464,2110163,false,,"[0,30]"
465,1053782,false,,"[0,10,52,50]"
466,288881,false,,"[0,30]"
467,5272942,false,,"[0,30]"
468,988267,false,,"[0,3]"
469,2777098,false,,[0]
470,4650183,false,,[0]
471,1831171,false,,[0]
472,988049,false,,[0]
473,437549,false,,"[0,30,52,50]"
474,1409218,false,,"[0,11,14]"
475,5309641,false,,[0]
476,3869956,false,,[0]
477,3626237,false,,[0]
478,3445198,false,,[0]
479,3248813,false,,[0]
480,695208,false,,[0]
481,6269916,false,,[0]
482,4152775,false,,[0]
483,2564901,false,,"[0,12]"
484,285886,false,,"[0,12,7,13,10,16]"
485,1257803,false,,[0]
486,2967631,false,,[0]
487,3380844,false,,[0]
488,1089505,false,,[0]
489,1249610,false,,[0]
490,326254,false,,[0]
491,967033,false,,[0]
492,2336404,false,,[0]
493,7901796,false,,"[0,41]"
494,3452097,false,,[0]
495,3566746,false,,[0]
496,6828741,false,,[0]
497,9145482,false,,[0]
498,9838084,false,,[0]
499,1807969,false,,"[0,30]"
500,208108,false,,[0]
501,3590060,false,,"[0,14,30]"
502,113486,false,,"[0,30]"
503,1217242,false,,[0]
504,1633042,false,,"[0,14,33,30]"
505,639761,false,,"[0,12,16,40,37,41,42,44]"
506,76193,false,,[0]
507,2872839,false,,"[0,10,22,58,65]"
508,115087,false,,[0]
509,2431206,false,,[0]
510,1874031,false,,[0]
511,2575480,false,,[0]
512,1084209,false,,[0]
513,2695865,false,,[0]
514,1346207,false,,[0]
515,1460250,false,,[0]
516,2133613,false,,"[0,44]"
517,306081,false,,[0]
518,2087773,false,,[0]
519,670386,false,,"[0,6,9,7,13,10,52,50]"
520,1649980,false,,[0]
521,1840026,false,,"[0,11,16,14]"
522,4509177,false,,"[0,11,16,14]"
523,1909675,false,,"[0,52,50]"
524,2694787,false,,"[0,52,50]"
525,3231321,false,,[0]
526,3922297,false,,"[0,16]"
527,1100186,false,,"[0,11,16,14,52,50]"
528,1512330,false,,"[0,14,30,52,50]"
529,1182628,false,,"[0,6,8,14]"
530,911657,false,,"[0,6,8,14,30,52,50]"
531,14872,false,,[0]
532,970059,false,,[0]
533,3173947,false,,"[0,5]"
534,2661720,false,,"[0,5]"
535,1357838,false,,[0]
536,1631806,false,,[0]
537,4621298,false,,[0]
538,2547491,false,,"[0,7,13,10,11,30]"
539,1526130,false,,"[0,7,13,10,14]"
540,2210917,false,,"[0,7,10,14]"
541,1291702,true,,"[0,9,12,7,13,10,11,16,14,30,36,52,50]"
542,3188070,false,,"[0,9,7,10,11,16,36,52,50]"
543,3215577,false,,[0]
544,1600919,false,,[0]
545,538165,false,,[0]
546,2480769,false,,[0]
547,5800197,false,,[0]
548,9089122,false,,[0]
549,5095849,false,,[0]
